date_key,full_date,day,month,month_name,quarter,year,weekday_name
20150103,2015-01-03,3,1,January,1,2015,Saturday
20150104,2015-01-04,4,1,January,1,2015,Sunday
20150105,2015-01-05,5,1,January,1,2015,Monday
20150106,2015-01-06,6,1,January,1,2015,Tuesday
20150107,2015-01-07,7,1,January,1,2015,Wednesday
20150109,2015-01-09,9,1,January,1,2015,Friday
20150110,2015-01-10,10,1,January,1,2015,Saturday
20150111,2015-01-11,11,1,January,1,2015,Sunday
20150113,2015-01-13,13,1,January,1,2015,Tuesday
20150114,2015-01-14,14,1,January,1,2015,Wednesday
20150115,2015-01-15,15,1,January,1,2015,Thursday
20150116,2015-01-16,16,1,January,1,2015,Friday
20150118,2015-01-18,18,1,January,1,2015,Sunday
20150119,2015-01-19,19,1,January,1,2015,Monday
20150120,2015-01-20,20,1,January,1,2015,Tuesday
20150123,2015-01-23,23,1,January,1,2015,Friday
20150126,2015-01-26,26,1,January,1,2015,Monday
20150127,2015-01-27,27,1,January,1,2015,Tuesday
20150128,2015-01-28,28,1,January,1,2015,Wednesday
20150130,2015-01-30,30,1,January,1,2015,Friday
20150131,2015-01-31,31,1,January,1,2015,Saturday
20150201,2015-02-01,1,2,February,1,2015,Sunday
20150202,2015-02-02,2,2,February,1,2015,Monday
20150203,2015-02-03,3,2,February,1,2015,Tuesday
20150204,2015-02-04,4,2,February,1,2015,Wednesday
20150206,2015-02-06,6,2,February,1,2015,Friday
20150207,2015-02-07,7,2,February,1,2015,Saturday
20150208,2015-02-08,8,2,February,1,2015,Sunday
20150211,2015-02-11,11,2,February,1,2015,Wednesday
20150212,2015-02-12,12,2,February,1,2015,Thursday
20150214,2015-02-14,14,2,February,1,2015,Saturday
20150215,2015-02-15,15,2,February,1,2015,Sunday
20150216,2015-02-16,16,2,February,1,2015,Monday
20150217,2015-02-17,17,2,February,1,2015,Tuesday
20150218,2015-02-18,18,2,February,1,2015,Wednesday
20150220,2015-02-20,20,2,February,1,2015,Friday
20150221,2015-02-21,21,2,February,1,2015,Saturday
20150222,2015-02-22,22,2,February,1,2015,Sunday
20150223,2015-02-23,23,2,February,1,2015,Monday
20150224,2015-02-24,24,2,February,1,2015,Tuesday
20150227,2015-02-27,27,2,February,1,2015,Friday
20150301,2015-03-01,1,3,March,1,2015,Sunday
20150302,2015-03-02,2,3,March,1,2015,Monday
20150303,2015-03-03,3,3,March,1,2015,Tuesday
20150304,2015-03-04,4,3,March,1,2015,Wednesday
20150305,2015-03-05,5,3,March,1,2015,Thursday
20150307,2015-03-07,7,3,March,1,2015,Saturday
20150310,2015-03-10,10,3,March,1,2015,Tuesday
20150311,2015-03-11,11,3,March,1,2015,Wednesday
20150314,2015-03-14,14,3,March,1,2015,Saturday
20150315,2015-03-15,15,3,March,1,2015,Sunday
20150316,2015-03-16,16,3,March,1,2015,Monday
20150317,2015-03-17,17,3,March,1,2015,Tuesday
20150318,2015-03-18,18,3,March,1,2015,Wednesday
20150319,2015-03-19,19,3,March,1,2015,Thursday
20150321,2015-03-21,21,3,March,1,2015,Saturday
20150322,2015-03-22,22,3,March,1,2015,Sunday
20150323,2015-03-23,23,3,March,1,2015,Monday
20150324,2015-03-24,24,3,March,1,2015,Tuesday
20150325,2015-03-25,25,3,March,1,2015,Wednesday
20150326,2015-03-26,26,3,March,1,2015,Thursday
20150328,2015-03-28,28,3,March,1,2015,Saturday
20150329,2015-03-29,29,3,March,1,2015,Sunday
20150330,2015-03-30,30,3,March,1,2015,Monday
20150331,2015-03-31,31,3,March,1,2015,Tuesday
20150401,2015-04-01,1,4,April,2,2015,Wednesday
20150402,2015-04-02,2,4,April,2,2015,Thursday
20150404,2015-04-04,4,4,April,2,2015,Saturday
20150405,2015-04-05,5,4,April,2,2015,Sunday
20150406,2015-04-06,6,4,April,2,2015,Monday
20150407,2015-04-07,7,4,April,2,2015,Tuesday
20150408,2015-04-08,8,4,April,2,2015,Wednesday
20150411,2015-04-11,11,4,April,2,2015,Saturday
20150412,2015-04-12,12,4,April,2,2015,Sunday
20150413,2015-04-13,13,4,April,2,2015,Monday
20150415,2015-04-15,15,4,April,2,2015,Wednesday
20150416,2015-04-16,16,4,April,2,2015,Thursday
20150418,2015-04-18,18,4,April,2,2015,Saturday
20150419,2015-04-19,19,4,April,2,2015,Sunday
20150420,2015-04-20,20,4,April,2,2015,Monday
20150421,2015-04-21,21,4,April,2,2015,Tuesday
20150422,2015-04-22,22,4,April,2,2015,Wednesday
20150423,2015-04-23,23,4,April,2,2015,Thursday
20150425,2015-04-25,25,4,April,2,2015,Saturday
20150426,2015-04-26,26,4,April,2,2015,Sunday
20150428,2015-04-28,28,4,April,2,2015,Tuesday
20150429,2015-04-29,29,4,April,2,2015,Wednesday
20150430,2015-04-30,30,4,April,2,2015,Thursday
20150502,2015-05-02,2,5,May,2,2015,Saturday
20150503,2015-05-03,3,5,May,2,2015,Sunday
20150504,2015-05-04,4,5,May,2,2015,Monday
20150505,2015-05-05,5,5,May,2,2015,Tuesday
20150506,2015-05-06,6,5,May,2,2015,Wednesday
20150507,2015-05-07,7,5,May,2,2015,Thursday
20150508,2015-05-08,8,5,May,2,2015,Friday
20150509,2015-05-09,9,5,May,2,2015,Saturday
20150510,2015-05-10,10,5,May,2,2015,Sunday
20150511,2015-05-11,11,5,May,2,2015,Monday
20150512,2015-05-12,12,5,May,2,2015,Tuesday
20150513,2015-05-13,13,5,May,2,2015,Wednesday
20150514,2015-05-14,14,5,May,2,2015,Thursday
20150516,2015-05-16,16,5,May,2,2015,Saturday
20150517,2015-05-17,17,5,May,2,2015,Sunday
20150518,2015-05-18,18,5,May,2,2015,Monday
20150519,2015-05-19,19,5,May,2,2015,Tuesday
20150520,2015-05-20,20,5,May,2,2015,Wednesday
20150521,2015-05-21,21,5,May,2,2015,Thursday
20150522,2015-05-22,22,5,May,2,2015,Friday
20150523,2015-05-23,23,5,May,2,2015,Saturday
20150524,2015-05-24,24,5,May,2,2015,Sunday
20150525,2015-05-25,25,5,May,2,2015,Monday
20150526,2015-05-26,26,5,May,2,2015,Tuesday
20150527,2015-05-27,27,5,May,2,2015,Wednesday
20150528,2015-05-28,28,5,May,2,2015,Thursday
20150530,2015-05-30,30,5,May,2,2015,Saturday
20150531,2015-05-31,31,5,May,2,2015,Sunday
20150601,2015-06-01,1,6,June,2,2015,Monday
20150602,2015-06-02,2,6,June,2,2015,Tuesday
20150603,2015-06-03,3,6,June,2,2015,Wednesday
20150604,2015-06-04,4,6,June,2,2015,Thursday
20150606,2015-06-06,6,6,June,2,2015,Saturday
20150607,2015-06-07,7,6,June,2,2015,Sunday
20150608,2015-06-08,8,6,June,2,2015,Monday
20150609,2015-06-09,9,6,June,2,2015,Tuesday
20150610,2015-06-10,10,6,June,2,2015,Wednesday
20150613,2015-06-13,13,6,June,2,2015,Saturday
20150614,2015-06-14,14,6,June,2,2015,Sunday
20150615,2015-06-15,15,6,June,2,2015,Monday
20150616,2015-06-16,16,6,June,2,2015,Tuesday
20150617,2015-06-17,17,6,June,2,2015,Wednesday
20150618,2015-06-18,18,6,June,2,2015,Thursday
20150620,2015-06-20,20,6,June,2,2015,Saturday
20150621,2015-06-21,21,6,June,2,2015,Sunday
20150622,2015-06-22,22,6,June,2,2015,Monday
20150623,2015-06-23,23,6,June,2,2015,Tuesday
20150624,2015-06-24,24,6,June,2,2015,Wednesday
20150625,2015-06-25,25,6,June,2,2015,Thursday
20150627,2015-06-27,27,6,June,2,2015,Saturday
20150628,2015-06-28,28,6,June,2,2015,Sunday
20150629,2015-06-29,29,6,June,2,2015,Monday
20150630,2015-06-30,30,6,June,2,2015,Tuesday
20150701,2015-07-01,1,7,July,3,2015,Wednesday
20150702,2015-07-02,2,7,July,3,2015,Thursday
20150704,2015-07-04,4,7,July,3,2015,Saturday
20150705,2015-07-05,5,7,July,3,2015,Sunday
20150706,2015-07-06,6,7,July,3,2015,Monday
20150707,2015-07-07,7,7,July,3,2015,Tuesday
20150708,2015-07-08,8,7,July,3,2015,Wednesday
20150709,2015-07-09,9,7,July,3,2015,Thursday
20150711,2015-07-11,11,7,July,3,2015,Saturday
20150712,2015-07-12,12,7,July,3,2015,Sunday
20150713,2015-07-13,13,7,July,3,2015,Monday
20150714,2015-07-14,14,7,July,3,2015,Tuesday
20150715,2015-07-15,15,7,July,3,2015,Wednesday
20150718,2015-07-18,18,7,July,3,2015,Saturday
20150719,2015-07-19,19,7,July,3,2015,Sunday
20150720,2015-07-20,20,7,July,3,2015,Monday
20150721,2015-07-21,21,7,July,3,2015,Tuesday
20150722,2015-07-22,22,7,July,3,2015,Wednesday
20150723,2015-07-23,23,7,July,3,2015,Thursday
20150725,2015-07-25,25,7,July,3,2015,Saturday
20150726,2015-07-26,26,7,July,3,2015,Sunday
20150727,2015-07-27,27,7,July,3,2015,Monday
20150728,2015-07-28,28,7,July,3,2015,Tuesday
20150730,2015-07-30,30,7,July,3,2015,Thursday
20150801,2015-08-01,1,8,August,3,2015,Saturday
20150802,2015-08-02,2,8,August,3,2015,Sunday
20150803,2015-08-03,3,8,August,3,2015,Monday
20150804,2015-08-04,4,8,August,3,2015,Tuesday
20150805,2015-08-05,5,8,August,3,2015,Wednesday
20150806,2015-08-06,6,8,August,3,2015,Thursday
20150808,2015-08-08,8,8,August,3,2015,Saturday
20150809,2015-08-09,9,8,August,3,2015,Sunday
20150811,2015-08-11,11,8,August,3,2015,Tuesday
20150812,2015-08-12,12,8,August,3,2015,Wednesday
20150815,2015-08-15,15,8,August,3,2015,Saturday
20150816,2015-08-16,16,8,August,3,2015,Sunday
20150817,2015-08-17,17,8,August,3,2015,Monday
20150819,2015-08-19,19,8,August,3,2015,Wednesday
20150820,2015-08-20,20,8,August,3,2015,Thursday
20150822,2015-08-22,22,8,August,3,2015,Saturday
20150823,2015-08-23,23,8,August,3,2015,Sunday
20150824,2015-08-24,24,8,August,3,2015,Monday
20150825,2015-08-25,25,8,August,3,2015,Tuesday
20150826,2015-08-26,26,8,August,3,2015,Wednesday
20150827,2015-08-27,27,8,August,3,2015,Thursday
20150829,2015-08-29,29,8,August,3,2015,Saturday
20150830,2015-08-30,30,8,August,3,2015,Sunday
20150831,2015-08-31,31,8,August,3,2015,Monday
20150901,2015-09-01,1,9,September,3,2015,Tuesday
20150902,2015-09-02,2,9,September,3,2015,Wednesday
20150903,2015-09-03,3,9,September,3,2015,Thursday
20150905,2015-09-05,5,9,September,3,2015,Saturday
20150906,2015-09-06,6,9,September,3,2015,Sunday
20150907,2015-09-07,7,9,September,3,2015,Monday
20150908,2015-09-08,8,9,September,3,2015,Tuesday
20150909,2015-09-09,9,9,September,3,2015,Wednesday
20150910,2015-09-10,10,9,September,3,2015,Thursday
20150911,2015-09-11,11,9,September,3,2015,Friday
20150912,2015-09-12,12,9,September,3,2015,Saturday
20150913,2015-09-13,13,9,September,3,2015,Sunday
20150914,2015-09-14,14,9,September,3,2015,Monday
20150915,2015-09-15,15,9,September,3,2015,Tuesday
20150916,2015-09-16,16,9,September,3,2015,Wednesday
20150917,2015-09-17,17,9,September,3,2015,Thursday
20150919,2015-09-19,19,9,September,3,2015,Saturday
20150920,2015-09-20,20,9,September,3,2015,Sunday
20150921,2015-09-21,21,9,September,3,2015,Monday
20150922,2015-09-22,22,9,September,3,2015,Tuesday
20150923,2015-09-23,23,9,September,3,2015,Wednesday
20150924,2015-09-24,24,9,September,3,2015,Thursday
20150925,2015-09-25,25,9,September,3,2015,Friday
20150926,2015-09-26,26,9,September,3,2015,Saturday
20150927,2015-09-27,27,9,September,3,2015,Sunday
20150928,2015-09-28,28,9,September,3,2015,Monday
20150929,2015-09-29,29,9,September,3,2015,Tuesday
20150930,2015-09-30,30,9,September,3,2015,Wednesday
20151001,2015-10-01,1,10,October,4,2015,Thursday
20151002,2015-10-02,2,10,October,4,2015,Friday
20151003,2015-10-03,3,10,October,4,2015,Saturday
20151004,2015-10-04,4,10,October,4,2015,Sunday
20151005,2015-10-05,5,10,October,4,2015,Monday
20151006,2015-10-06,6,10,October,4,2015,Tuesday
20151007,2015-10-07,7,10,October,4,2015,Wednesday
20151008,2015-10-08,8,10,October,4,2015,Thursday
20151009,2015-10-09,9,10,October,4,2015,Friday
20151010,2015-10-10,10,10,October,4,2015,Saturday
20151011,2015-10-11,11,10,October,4,2015,Sunday
20151012,2015-10-12,12,10,October,4,2015,Monday
20151013,2015-10-13,13,10,October,4,2015,Tuesday
20151014,2015-10-14,14,10,October,4,2015,Wednesday
20151015,2015-10-15,15,10,October,4,2015,Thursday
20151016,2015-10-16,16,10,October,4,2015,Friday
20151017,2015-10-17,17,10,October,4,2015,Saturday
20151018,2015-10-18,18,10,October,4,2015,Sunday
20151019,2015-10-19,19,10,October,4,2015,Monday
20151020,2015-10-20,20,10,October,4,2015,Tuesday
20151021,2015-10-21,21,10,October,4,2015,Wednesday
20151022,2015-10-22,22,10,October,4,2015,Thursday
20151024,2015-10-24,24,10,October,4,2015,Saturday
20151025,2015-10-25,25,10,October,4,2015,Sunday
20151026,2015-10-26,26,10,October,4,2015,Monday
20151027,2015-10-27,27,10,October,4,2015,Tuesday
20151028,2015-10-28,28,10,October,4,2015,Wednesday
20151029,2015-10-29,29,10,October,4,2015,Thursday
20151031,2015-10-31,31,10,October,4,2015,Saturday
20151101,2015-11-01,1,11,November,4,2015,Sunday
20151102,2015-11-02,2,11,November,4,2015,Monday
20151103,2015-11-03,3,11,November,4,2015,Tuesday
20151104,2015-11-04,4,11,November,4,2015,Wednesday
20151105,2015-11-05,5,11,November,4,2015,Thursday
20151107,2015-11-07,7,11,November,4,2015,Saturday
20151108,2015-11-08,8,11,November,4,2015,Sunday
20151109,2015-11-09,9,11,November,4,2015,Monday
20151110,2015-11-10,10,11,November,4,2015,Tuesday
20151111,2015-11-11,11,11,November,4,2015,Wednesday
20151112,2015-11-12,12,11,November,4,2015,Thursday
20151114,2015-11-14,14,11,November,4,2015,Saturday
20151115,2015-11-15,15,11,November,4,2015,Sunday
20151116,2015-11-16,16,11,November,4,2015,Monday
20151117,2015-11-17,17,11,November,4,2015,Tuesday
20151118,2015-11-18,18,11,November,4,2015,Wednesday
20151119,2015-11-19,19,11,November,4,2015,Thursday
20151120,2015-11-20,20,11,November,4,2015,Friday
20151121,2015-11-21,21,11,November,4,2015,Saturday
20151122,2015-11-22,22,11,November,4,2015,Sunday
20151123,2015-11-23,23,11,November,4,2015,Monday
20151124,2015-11-24,24,11,November,4,2015,Tuesday
20151125,2015-11-25,25,11,November,4,2015,Wednesday
20151126,2015-11-26,26,11,November,4,2015,Thursday
20151127,2015-11-27,27,11,November,4,2015,Friday
20151128,2015-11-28,28,11,November,4,2015,Saturday
20151129,2015-11-29,29,11,November,4,2015,Sunday
20151130,2015-11-30,30,11,November,4,2015,Monday
20151201,2015-12-01,1,12,December,4,2015,Tuesday
20151202,2015-12-02,2,12,December,4,2015,Wednesday
20151203,2015-12-03,3,12,December,4,2015,Thursday
20151204,2015-12-04,4,12,December,4,2015,Friday
20151205,2015-12-05,5,12,December,4,2015,Saturday
20151206,2015-12-06,6,12,December,4,2015,Sunday
20151207,2015-12-07,7,12,December,4,2015,Monday
20151208,2015-12-08,8,12,December,4,2015,Tuesday
20151209,2015-12-09,9,12,December,4,2015,Wednesday
20151210,2015-12-10,10,12,December,4,2015,Thursday
20151212,2015-12-12,12,12,December,4,2015,Saturday
20151213,2015-12-13,13,12,December,4,2015,Sunday
20151214,2015-12-14,14,12,December,4,2015,Monday
20151215,2015-12-15,15,12,December,4,2015,Tuesday
20151216,2015-12-16,16,12,December,4,2015,Wednesday
20151217,2015-12-17,17,12,December,4,2015,Thursday
20151219,2015-12-19,19,12,December,4,2015,Saturday
20151220,2015-12-20,20,12,December,4,2015,Sunday
20151221,2015-12-21,21,12,December,4,2015,Monday
20151222,2015-12-22,22,12,December,4,2015,Tuesday
20151223,2015-12-23,23,12,December,4,2015,Wednesday
20151224,2015-12-24,24,12,December,4,2015,Thursday
20151226,2015-12-26,26,12,December,4,2015,Saturday
20151227,2015-12-27,27,12,December,4,2015,Sunday
20151228,2015-12-28,28,12,December,4,2015,Monday
20151229,2015-12-29,29,12,December,4,2015,Tuesday
20151230,2015-12-30,30,12,December,4,2015,Wednesday
20151231,2015-12-31,31,12,December,4,2015,Thursday
20160102,2016-01-02,2,1,January,1,2016,Saturday
20160103,2016-01-03,3,1,January,1,2016,Sunday
20160104,2016-01-04,4,1,January,1,2016,Monday
20160105,2016-01-05,5,1,January,1,2016,Tuesday
20160106,2016-01-06,6,1,January,1,2016,Wednesday
20160109,2016-01-09,9,1,January,1,2016,Saturday
20160110,2016-01-10,10,1,January,1,2016,Sunday
20160112,2016-01-12,12,1,January,1,2016,Tuesday
20160113,2016-01-13,13,1,January,1,2016,Wednesday
20160117,2016-01-17,17,1,January,1,2016,Sunday
20160119,2016-01-19,19,1,January,1,2016,Tuesday
20160123,2016-01-23,23,1,January,1,2016,Saturday
20160124,2016-01-24,24,1,January,1,2016,Sunday
20160126,2016-01-26,26,1,January,1,2016,Tuesday
20160127,2016-01-27,27,1,January,1,2016,Wednesday
20160128,2016-01-28,28,1,January,1,2016,Thursday
20160130,2016-01-30,30,1,January,1,2016,Saturday
20160131,2016-01-31,31,1,January,1,2016,Sunday
20160203,2016-02-03,3,2,February,1,2016,Wednesday
20160206,2016-02-06,6,2,February,1,2016,Saturday
20160207,2016-02-07,7,2,February,1,2016,Sunday
20160208,2016-02-08,8,2,February,1,2016,Monday
20160209,2016-02-09,9,2,February,1,2016,Tuesday
20160210,2016-02-10,10,2,February,1,2016,Wednesday
20160214,2016-02-14,14,2,February,1,2016,Sunday
20160215,2016-02-15,15,2,February,1,2016,Monday
20160216,2016-02-16,16,2,February,1,2016,Tuesday
20160218,2016-02-18,18,2,February,1,2016,Thursday
20160220,2016-02-20,20,2,February,1,2016,Saturday
20160221,2016-02-21,21,2,February,1,2016,Sunday
20160222,2016-02-22,22,2,February,1,2016,Monday
20160223,2016-02-23,23,2,February,1,2016,Tuesday
20160225,2016-02-25,25,2,February,1,2016,Thursday
20160227,2016-02-27,27,2,February,1,2016,Saturday
20160228,2016-02-28,28,2,February,1,2016,Sunday
20160301,2016-03-01,1,3,March,1,2016,Tuesday
20160302,2016-03-02,2,3,March,1,2016,Wednesday
20160305,2016-03-05,5,3,March,1,2016,Saturday
20160306,2016-03-06,6,3,March,1,2016,Sunday
20160307,2016-03-07,7,3,March,1,2016,Monday
20160308,2016-03-08,8,3,March,1,2016,Tuesday
20160309,2016-03-09,9,3,March,1,2016,Wednesday
20160310,2016-03-10,10,3,March,1,2016,Thursday
20160312,2016-03-12,12,3,March,1,2016,Saturday
20160313,2016-03-13,13,3,March,1,2016,Sunday
20160314,2016-03-14,14,3,March,1,2016,Monday
20160315,2016-03-15,15,3,March,1,2016,Tuesday
20160316,2016-03-16,16,3,March,1,2016,Wednesday
20160317,2016-03-17,17,3,March,1,2016,Thursday
20160319,2016-03-19,19,3,March,1,2016,Saturday
20160320,2016-03-20,20,3,March,1,2016,Sunday
20160321,2016-03-21,21,3,March,1,2016,Monday
20160322,2016-03-22,22,3,March,1,2016,Tuesday
20160323,2016-03-23,23,3,March,1,2016,Wednesday
20160324,2016-03-24,24,3,March,1,2016,Thursday
20160326,2016-03-26,26,3,March,1,2016,Saturday
20160327,2016-03-27,27,3,March,1,2016,Sunday
20160328,2016-03-28,28,3,March,1,2016,Monday
20160329,2016-03-29,29,3,March,1,2016,Tuesday
20160330,2016-03-30,30,3,March,1,2016,Wednesday
20160331,2016-03-31,31,3,March,1,2016,Thursday
20160402,2016-04-02,2,4,April,2,2016,Saturday
20160404,2016-04-04,4,4,April,2,2016,Monday
20160405,2016-04-05,5,4,April,2,2016,Tuesday
20160406,2016-04-06,6,4,April,2,2016,Wednesday
20160407,2016-04-07,7,4,April,2,2016,Thursday
20160409,2016-04-09,9,4,April,2,2016,Saturday
20160410,2016-04-10,10,4,April,2,2016,Sunday
20160411,2016-04-11,11,4,April,2,2016,Monday
20160413,2016-04-13,13,4,April,2,2016,Wednesday
20160414,2016-04-14,14,4,April,2,2016,Thursday
20160416,2016-04-16,16,4,April,2,2016,Saturday
20160417,2016-04-17,17,4,April,2,2016,Sunday
20160418,2016-04-18,18,4,April,2,2016,Monday
20160419,2016-04-19,19,4,April,2,2016,Tuesday
20160420,2016-04-20,20,4,April,2,2016,Wednesday
20160421,2016-04-21,21,4,April,2,2016,Thursday
20160422,2016-04-22,22,4,April,2,2016,Friday
20160424,2016-04-24,24,4,April,2,2016,Sunday
20160425,2016-04-25,25,4,April,2,2016,Monday
20160426,2016-04-26,26,4,April,2,2016,Tuesday
20160427,2016-04-27,27,4,April,2,2016,Wednesday
20160428,2016-04-28,28,4,April,2,2016,Thursday
20160429,2016-04-29,29,4,April,2,2016,Friday
20160430,2016-04-30,30,4,April,2,2016,Saturday
20160501,2016-05-01,1,5,May,2,2016,Sunday
20160502,2016-05-02,2,5,May,2,2016,Monday
20160503,2016-05-03,3,5,May,2,2016,Tuesday
20160504,2016-05-04,4,5,May,2,2016,Wednesday
20160507,2016-05-07,7,5,May,2,2016,Saturday
20160508,2016-05-08,8,5,May,2,2016,Sunday
20160509,2016-05-09,9,5,May,2,2016,Monday
20160510,2016-05-10,10,5,May,2,2016,Tuesday
20160511,2016-05-11,11,5,May,2,2016,Wednesday
20160512,2016-05-12,12,5,May,2,2016,Thursday
20160513,2016-05-13,13,5,May,2,2016,Friday
20160514,2016-05-14,14,5,May,2,2016,Saturday
20160515,2016-05-15,15,5,May,2,2016,Sunday
20160516,2016-05-16,16,5,May,2,2016,Monday
20160517,2016-05-17,17,5,May,2,2016,Tuesday
20160518,2016-05-18,18,5,May,2,2016,Wednesday
20160520,2016-05-20,20,5,May,2,2016,Friday
20160521,2016-05-21,21,5,May,2,2016,Saturday
20160522,2016-05-22,22,5,May,2,2016,Sunday
20160523,2016-05-23,23,5,May,2,2016,Monday
20160524,2016-05-24,24,5,May,2,2016,Tuesday
20160525,2016-05-25,25,5,May,2,2016,Wednesday
20160526,2016-05-26,26,5,May,2,2016,Thursday
